method,run,p,L,H_est,W_est,MSE,LogRMSE,MAE,SqRel,Valid
BP,1,2,52,146,146,63.516929903022316,0.2531785157193675,5.422229545240561,1.7814812898445973,21242
BP,2,2,52,146,146,64.5235794117647,0.252542970350276,5.4952588235294115,1.7992128945630954,21250
BP,3,2,52,146,146,59.78323153509391,0.23329551301078005,5.131419761803889,1.5146841198869383,21243
BP,4,2,52,146,146,68.76249117439397,0.2655612082846526,5.612944222169922,1.8335620834044946,21245
BP,5,2,52,146,146,72.07020439141485,0.2698428134582581,5.904534971288713,1.9231180959335887,21246
GBP,1,2,52,146,146,64.32768807080312,0.23666475305515455,5.639723189906788,1.7035135989747077,21242
GBP,2,2,52,146,146,66.80768529411765,0.23936893189376462,5.831470588235294,1.750123686035088,21250
GBP,3,2,52,146,146,59.78323153509391,0.23329551301078005,5.131419761803889,1.5146841198869383,21243
GBP,4,2,52,146,146,69.04908507884208,0.24516520935392305,5.958684396328548,1.7704692866978133,21245
GBP,5,2,52,146,146,72.52306610656123,0.24958979281477436,6.284347641909065,1.8617537650782572,21246
