method,run,p,L,H_est,W_est,MSE,LogRMSE,MAE,SqRel,Valid
BP,1,2,44,146,154,10.00354381443299,0.20523353960155574,1.514825392402712,0.29792506997951473,21534
BP,2,2,44,146,154,11.034082589796386,0.21092886351617268,1.530839624799817,0.3363692166070395,21855
BP,4,2,44,146,154,15.092421885722128,0.24431947322654873,1.7331533921954343,0.46194150725211885,21859
BP,5,2,44,146,154,20.28090114915572,0.2247340198423557,2.0620426829268292,0.6102814177621511,21320
BP,6,2,44,146,154,14.827347439157283,0.24550911342017775,1.6908826734471485,0.4566619066901033,22024
GBP,1,2,44,146,154,5.771091645769481,0.0884660150639598,1.4653222810439306,0.163367094278632,21534
GBP,2,2,44,146,154,3.047603523221231,0.06364584703963469,1.0778997940974606,0.08860006384297105,21855
GBP,4,2,44,146,154,4.4143230477149,0.07383328216444511,1.383674916510362,0.12903603993341273,21859
GBP,5,2,44,146,154,47.01296024859287,0.4201787884225897,3.77702861163227,1.4287302648692142,21320
GBP,6,2,44,146,154,4.425413753178351,0.07447992280123551,1.3933095713766799,0.1328409546582655,22024
